0,Rest
1,Caudate
2,Cerebellum
3,Frontal_Lobe
4,Insula
5,Occipital_Lobe
6,Parietal_Lobe
7,Putamen
8,Temporal_Lobe
9,Thalamus
10,Middle
11,Ext_B_Ar_D
12,Ext_B_Ar_G
13,Ext_B_Av_D
14,Ext_B_Av_G
15,Ext_H_Ar_D
16,Ext_H_Ar_G
17,Ext_H_Av_D
18,Ext_H_Av_G
